implementation;workload;n;time_total;time_per_op
radix_sort_lsd;sort_reversed;2308;0.000007444;0.000000003225303292894281
radix_sort_lsd;sort_almost_sorted;2308;0.000010119;0.000000004384315424610052
rust_std_sort;sort_random;2308;0.000035466;0.000000015366551126516464
rust_std_sort;sort_sorted;2308;0.000000702;0.00000000030415944540727904
rust_std_sort;sort_reversed;2308;0.000000921;0.00000000039904679376083187
rust_std_sort;sort_almost_sorted;2308;0.000020418;0.000000008846620450606585
bubble;sort_random;3050;0.004598642;0.000001507751475409836
bubble;sort_sorted;3050;0.000001212;0.0000000003973770491803279
bubble;sort_reversed;3050;0.001991277;0.0000006528777049180328
bubble;sort_almost_sorted;3050;0.001552787;0.0000005091104918032787
insertion;sort_random;3050;0.000870698;0.00000028547475409836066
insertion;sort_sorted;3050;0.000001192;0.00000000039081967213114754
insertion;sort_reversed;3050;0.001330467;0.0000004362186885245902
insertion;sort_almost_sorted;3050;0.000101257;0.00000003319901639344262
selection;sort_random;3050;0.002049054;0.0000006718209836065573
selection;sort_sorted;3050;0.001933321;0.000000633875737704918
selection;sort_reversed;3050;0.001939241;0.0000006358167213114754
selection;sort_almost_sorted;3050;0.001936356;0.0000006348708196721311
merge_sort_td;sort_random;3050;0.0001299;0.000000042590163934426235
merge_sort_td;sort_sorted;3050;0.00003244;0.000000010636065573770493
merge_sort_td;sort_reversed;3050;0.00003264;0.000000010701639344262295
merge_sort_td;sort_almost_sorted;3050;0.000051756;0.00000001696918032786885
quick_lomuto;sort_random;3050;0.00011419;0.00000003743934426229508
quick_lomuto;sort_sorted;3050;0.002269201;0.0000007440003278688525
quick_lomuto;sort_reversed;3050;0.002094648;0.0000006867698360655738
quick_lomuto;sort_almost_sorted;3050;0.000096689;0.00000003170131147540983
heap_sort;sort_random;3050;0.000132034;0.00000004328983606557377
heap_sort;sort_sorted;3050;0.000094745;0.00000003106393442622951
heap_sort;sort_reversed;3050;0.000094144;0.00000003086688524590164
heap_sort;sort_almost_sorted;3050;0.00010294;0.000000033750819672131146
counting_sort;sort_random;3050;0.000031328;0.000000010271475409836067
counting_sort;sort_sorted;3050;0.000006252;0.0000000020498360655737703
counting_sort;sort_reversed;3050;0.000006412;0.000000002102295081967213
counting_sort;sort_almost_sorted;3050;0.000008786;0.0000000028806557377049182
radix_sort_lsd;sort_random;3050;0.000026228;0.000000008599344262295081
radix_sort_lsd;sort_sorted;3050;0.000009848;0.000000003228852459016393
radix_sort_lsd;sort_reversed;3050;0.000009708;0.000000003182950819672131
radix_sort_lsd;sort_almost_sorted;3050;0.000012513;0.0000000041026229508196725
rust_std_sort;sort_random;3050;0.000049451;0.000000016213442622950817
rust_std_sort;sort_sorted;3050;0.000000942;0.00000000030885245901639346
rust_std_sort;sort_reversed;3050;0.000001342;0.00000000044000000000000003
